file_name,objective value
RC_N50_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no4,135.4416
RC_N50_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no3,129.4128
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no5,272.4976
RC_N50_R100_H100_h80_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no4,442.93237
RC_N50_R100_H100_h60_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no3,458.35387
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no2,263.1472
RC_N50_R100_H100_h80_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no3,477.75069
RC_N50_R100_H100_h60_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no4,359.87747
RC_N50_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no2,120.2624
RC_N50_R100_H100_h20_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no5,141.1776
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no3,262.7472
RC_N50_R100_H100_h60_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no5,399.84741
RC_N50_R100_H100_h80_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no2,394.48158
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no4,236.8032
RC_N50_R100_H100_h60_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no2,411.57416
RC_N50_R100_H100_h80_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no5,436.46626
RC_N50_R100_H100_h80_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no1,516.75938
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M4_F0.8_Lambda0.12_Mu1.2_Ro5_no1,211.9664
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no5,243.5392
RC_N50_R100_H100_h60_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no3,326.94778
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no2,264.2544
RC_N50_R100_H100_h60_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no4,383.60353
RC_N50_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no4,108.6976
RC_N50_R100_H100_h20_C1_0.2_C2_0.2_M6_F0.8_Lambda0.12_Mu1.2_Ro5_no3,138.7632
RC_N50_R100_H100_h40_C1_0.2_C2_0.2_M8_F0.8_Lambda0.12_Mu1.2_Ro5_no3,237.9104
